customer_id,signup_date,country,age,gender,loyalty_tier,acquisition_channel
1,2021-04-08,BR,48,Male,Bronze,Referral
2,2023-04-28,IN,36,Female,Silver,Organic
3,2022-12-18,UK,35,Female,Silver,Organic
4,2022-04-26,US,45,Male,Silver,Paid Search
5,2022-04-20,IN,53,Male,Silver,Organic
6,2023-07-30,IN,31,Female,Bronze,Paid Search
7,2021-04-05,IN,35,Female,Silver,Social
8,2023-02-03,US,36,Male,Bronze,Organic
9,2021-08-09,BR,33,Female,Bronze,Paid Search
10,2021-04-14,US,36,Male,Bronze,Email
11,2022-07-31,CA,66,Male,Bronze,Email
12,2023-12-05,AU,32,Male,Bronze,Paid Search
13,2023-03-17,US,46,Male,Gold,Organic
14,2023-04-14,IN,27,Male,Silver,Paid Search
15,2023-02-25,UK,31,Male,Bronze,Paid Search
16,2023-05-11,AU,18,Male,Silver,Email
17,2022-07-16,BR,35,Female,Silver,Organic
18,2021-05-21,IN,22,Male,Silver,Paid Search
19,2023-07-09,AU,37,Female,Silver,Paid Search
20,2022-05-09,US,31,Male,Bronze,Paid Search
21,2022-07-02,US,19,Male,Bronze,Referral
22,2022-02-11,IN,34,Male,Silver,Organic
23,2021-07-19,CA,32,Male,Silver,Paid Search
24,2023-10-12,US,56,Female,Bronze,Email
25,2023-05-06,CA,37,Female,Silver,Paid Search
26,2022-12-07,US,22,Female,Bronze,Email
27,2022-03-17,US,39,Female,Silver,Organic
28,2023-06-20,AU,40,Male,Gold,Social
29,2022-08-21,DE,31,Male,Silver,Paid Search
30,2022-05-01,IN,33,Female,Bronze,Paid Search
31,2022-05-09,CA,42,Other,Platinum,Email
32,2021-09-06,IN,25,Male,Bronze,Paid Search
33,2021-04-11,US,53,Male,Gold,Referral
34,2022-08-31,IN,46,Male,Bronze,Organic
35,2023-08-31,AU,39,Female,Gold,Organic
36,2021-03-11,US,23,Male,Bronze,Social
37,2023-07-29,US,48,Female,Bronze,Organic
38,2023-06-26,CA,23,Female,Bronze,Organic
39,2021-10-31,IN,37,Female,Gold,Referral
40,2022-11-23,US,33,Male,Bronze,Email
41,2021-06-30,IN,42,Female,Platinum,Organic
42,2023-04-11,BR,32,Female,Gold,Organic
43,2023-02-07,US,24,Female,Bronze,Paid Search
44,2022-01-24,US,29,Female,Bronze,Organic
45,2021-03-16,IN,31,Other,Bronze,Organic
46,2023-11-29,IN,46,Male,Gold,Organic
47,2022-05-04,US,35,Male,Bronze,Paid Search
48,2023-09-05,UK,24,Female,Silver,Email
49,2023-01-13,UK,43,Male,Bronze,Email
50,2023-05-03,UK,41,Male,Bronze,Organic
51,2023-04-13,IN,27,Male,Bronze,Paid Search
52,2021-08-02,US,26,Male,Silver,Referral
53,2022-02-03,US,32,Female,Gold,Email
54,2022-05-27,BR,29,Male,Silver,Organic
55,2022-06-30,UK,43,Male,Bronze,Organic
56,2021-02-17,IN,36,Male,Bronze,Organic
57,2022-08-22,UK,25,Female,Bronze,Paid Search
58,2021-06-18,US,36,Female,Silver,Social
59,2023-03-25,BR,36,Male,Platinum,Organic
60,2023-01-18,DE,25,Male,Silver,Paid Search
61,2023-10-08,US,30,Male,Bronze,Paid Search
62,2023-03-27,US,38,Female,Bronze,Referral
63,2022-02-06,US,48,Male,Silver,Social
64,2023-11-26,US,42,Female,Gold,Email
65,2022-03-26,IN,27,Male,Silver,Paid Search
66,2021-12-23,US,49,Female,Bronze,Paid Search
67,2023-09-19,DE,30,Female,Silver,Email
68,2022-02-10,IN,41,Male,Bronze,Organic
69,2021-03-25,US,47,Male,Silver,Email
70,2022-05-30,US,40,Female,Silver,Social
71,2023-05-22,US,30,Female,Bronze,Social
72,2021-07-27,IN,38,Male,Silver,Email
73,2022-05-22,UK,38,Male,Bronze,Email
74,2021-05-23,IN,24,Male,Bronze,Paid Search
75,2023-01-22,US,32,Female,Bronze,Referral
76,2022-06-05,AU,42,Female,Gold,Social
77,2021-12-28,IN,30,Female,Bronze,Social
78,2021-09-06,IN,28,Male,Bronze,Social
79,2022-09-11,IN,18,Male,Bronze,Email
80,2023-01-04,US,19,Male,Bronze,Social
81,2023-10-27,DE,57,Male,Bronze,Paid Search
82,2022-04-24,DE,26,Male,Gold,Organic
83,2021-06-25,US,28,Female,Bronze,Referral
84,2023-07-01,US,46,Female,Bronze,Organic
85,2022-11-21,IN,25,Male,Silver,Social
86,2023-02-06,IN,30,Female,Silver,Social
87,2021-04-17,AU,44,Other,Bronze,Organic
88,2021-12-09,IN,36,Male,Gold,Organic
89,2023-04-21,BR,21,Male,Bronze,Referral
90,2023-07-01,US,29,Male,Bronze,Email
91,2022-04-22,UK,44,Female,Bronze,Paid Search
92,2023-06-01,US,32,Female,Bronze,Email
93,2023-07-11,AU,35,Male,Silver,Organic
94,2022-03-01,UK,35,Male,Bronze,Social
95,2023-09-11,DE,47,Male,Platinum,Organic
96,2021-11-12,US,26,Male,Bronze,Email
97,2021-09-20,IN,19,Male,Silver,Organic
98,2023-01-18,UK,44,Female,Bronze,Paid Search
99,2022-11-29,US,21,Male,Bronze,Paid Search
100,2021-06-03,CA,21,Female,Bronze,Social
101,2023-07-01,IN,44,Male,Platinum,Organic
102,2021-08-07,UK,31,Male,Bronze,Referral
103,2023-06-01,IN,36,Male,Silver,Social
104,2021-01-09,DE,18,Female,Bronze,Organic
105,2023-05-23,US,41,Male,Silver,Social
106,2023-05-12,IN,25,Male,Silver,Paid Search
107,2023-05-05,BR,45,Male,Bronze,Organic
108,2022-12-30,US,34,Male,Bronze,Paid Search
109,2022-06-01,BR,43,Male,Bronze,Organic
110,2023-02-12,BR,39,Other,Bronze,Paid Search
111,2021-10-31,US,33,Female,Bronze,Paid Search
112,2023-05-05,US,29,Male,Silver,Social
113,2022-09-01,CA,27,Female,Bronze,Organic
114,2022-05-18,AU,46,Male,Bronze,Organic
115,2022-07-08,US,18,Female,Bronze,Organic
116,2022-09-15,BR,21,Male,Bronze,Referral
117,2021-02-10,US,32,Male,Silver,Organic
118,2021-06-03,IN,18,Female,Platinum,Social
119,2021-09-26,BR,31,Female,Bronze,Referral
120,2021-05-06,US,35,Female,Bronze,Paid Search
121,2022-04-27,CA,44,Female,Bronze,Email
122,2023-01-02,US,49,Female,Bronze,Referral
123,2022-12-18,IN,19,Male,Bronze,Organic
124,2022-05-31,AU,36,Male,Gold,Email
125,2023-07-26,US,44,Female,Bronze,Organic
126,2022-09-11,DE,39,Female,Bronze,Organic
127,2021-03-28,BR,40,Female,Silver,Organic
128,2023-04-18,CA,30,Female,Gold,Organic
129,2022-09-22,AU,31,Male,Bronze,Paid Search
130,2022-11-27,AU,27,Female,Bronze,Organic
131,2022-09-12,US,39,Female,Silver,Organic
132,2022-08-30,UK,47,Female,Silver,Paid Search
133,2021-04-10,IN,40,Male,Silver,Organic
134,2022-09-05,DE,25,Male,Bronze,Organic
135,2023-05-21,CA,26,Female,Silver,Organic
136,2021-11-29,US,23,Male,Bronze,Organic
137,2022-10-23,CA,23,Female,Bronze,Organic
138,2021-02-03,IN,36,Male,Bronze,Organic
139,2022-01-16,DE,23,Female,Gold,Referral
140,2022-04-24,IN,28,Male,Platinum,Paid Search
141,2023-12-13,US,44,Female,Silver,Paid Search
142,2021-08-23,DE,31,Male,Silver,Paid Search
143,2021-10-30,IN,32,Female,Gold,Organic
144,2022-03-24,BR,34,Male,Bronze,Referral
145,2023-12-23,CA,39,Female,Silver,Social
146,2023-07-24,BR,31,Male,Silver,Email
147,2021-02-07,CA,18,Female,Bronze,Referral
148,2021-09-14,BR,34,Female,Silver,Referral
149,2023-06-19,US,29,Male,Silver,Organic
150,2021-03-05,UK,52,Female,Bronze,Paid Search
151,2023-07-26,US,22,Male,Bronze,Email
152,2021-11-05,IN,41,Male,Bronze,Email
153,2023-10-02,BR,32,Female,Bronze,Social
154,2021-11-18,DE,59,Female,Gold,Email
155,2022-04-21,UK,40,Female,Silver,Referral
156,2022-12-26,DE,51,Other,Bronze,Paid Search
157,2021-05-19,US,18,Female,Silver,Email
158,2022-09-02,AU,33,Male,Bronze,Organic
159,2022-07-07,US,28,Female,Gold,Paid Search
160,2023-05-09,US,43,Other,Bronze,Organic
161,2023-12-27,US,39,Female,Bronze,Referral
162,2022-12-29,AU,41,Female,Silver,Paid Search
163,2022-03-25,IN,35,Female,Platinum,Paid Search
164,2022-03-21,IN,44,Female,Silver,Social
165,2022-04-03,IN,35,Other,Bronze,Organic
166,2023-06-11,US,29,Male,Silver,Organic
167,2021-12-18,US,36,Male,Silver,Organic
168,2021-07-02,US,47,Female,Bronze,Paid Search
169,2022-01-02,IN,40,Female,Bronze,Organic
170,2021-01-25,US,39,Female,Silver,Organic
171,2021-04-27,IN,41,Female,Bronze,Paid Search
172,2021-04-09,IN,37,Male,Silver,Paid Search
173,2023-04-25,IN,31,Male,Bronze,Paid Search
174,2023-03-02,BR,36,Female,Bronze,Organic
175,2023-02-02,US,18,Male,Silver,Organic
176,2022-05-21,IN,18,Female,Platinum,Referral
177,2023-02-25,US,42,Male,Bronze,Organic
178,2021-06-26,BR,24,Female,Bronze,Paid Search
179,2023-09-14,BR,23,Other,Silver,Organic
180,2022-07-03,US,37,Female,Bronze,Organic
181,2023-10-25,US,33,Female,Bronze,Social
182,2021-06-16,US,37,Female,Bronze,Organic
183,2022-06-29,US,24,Female,Bronze,Social
184,2023-02-02,US,39,Male,Bronze,Email
185,2022-06-27,US,30,Male,Bronze,Paid Search
186,2022-05-04,US,47,Female,Bronze,Referral
187,2021-07-02,US,30,Female,Bronze,Paid Search
188,2022-02-22,IN,39,Male,Bronze,Referral
189,2021-09-19,US,27,Male,Silver,Organic
190,2021-11-27,IN,54,Female,Bronze,Organic
191,2023-01-19,BR,33,Female,Bronze,Organic
192,2022-11-22,IN,38,Male,Bronze,Social
193,2022-10-27,US,43,Female,Bronze,Email
194,2022-02-01,BR,32,Male,Bronze,Referral
195,2023-11-17,US,58,Female,Bronze,Paid Search
196,2021-04-06,US,44,Female,Bronze,Organic
197,2022-01-11,UK,21,Male,Bronze,Email
198,2021-05-10,US,39,Male,Gold,Email
199,2022-01-07,IN,42,Male,Bronze,Organic
200,2023-11-20,CA,42,Male,Bronze,Paid Search
201,2022-02-06,UK,24,Male,Silver,Paid Search
202,2023-09-22,CA,32,Female,Bronze,Social
203,2022-06-27,US,44,Female,Bronze,Paid Search
204,2023-02-06,US,29,Female,Bronze,Email
205,2022-05-16,IN,25,Female,Bronze,Referral
206,2021-10-19,IN,26,Male,Bronze,Paid Search
207,2023-04-17,DE,28,Female,Bronze,Paid Search
208,2023-11-28,DE,18,Male,Bronze,Social
209,2021-10-16,US,25,Male,Platinum,Paid Search
210,2023-05-03,BR,38,Male,Bronze,Email
211,2021-10-13,US,46,Male,Bronze,Paid Search
212,2023-02-24,AU,31,Female,Bronze,Paid Search
213,2023-05-14,US,36,Male,Bronze,Organic
214,2022-05-08,DE,34,Female,Bronze,Paid Search
215,2023-03-18,UK,32,Female,Gold,Paid Search
216,2021-10-26,UK,23,Female,Bronze,Paid Search
217,2021-03-28,CA,22,Female,Bronze,Organic
218,2021-04-16,UK,47,Female,Silver,Organic
219,2022-05-05,UK,34,Female,Bronze,Social
220,2023-09-16,BR,41,Female,Silver,Paid Search
221,2021-05-20,US,35,Male,Bronze,Paid Search
222,2022-05-15,IN,48,Female,Platinum,Paid Search
223,2023-02-10,DE,22,Female,Bronze,Organic
224,2021-08-10,US,32,Male,Gold,Organic
225,2023-03-02,US,30,Female,Bronze,Referral
226,2021-12-02,US,27,Female,Bronze,Social
227,2023-06-05,US,18,Male,Silver,Organic
228,2022-09-27,DE,35,Female,Bronze,Organic
229,2022-08-22,UK,40,Female,Gold,Paid Search
230,2021-07-13,US,49,Male,Bronze,Email
231,2022-05-23,IN,31,Male,Bronze,Organic
232,2023-07-27,US,23,Male,Silver,Social
233,2021-01-22,AU,24,Male,Gold,Paid Search
234,2023-04-11,DE,27,Male,Silver,Email
235,2022-06-24,US,36,Female,Silver,Paid Search
236,2023-02-27,US,25,Male,Silver,Paid Search
237,2022-12-28,BR,35,Female,Bronze,Social
238,2022-04-19,UK,23,Male,Platinum,Social
239,2021-12-04,IN,33,Female,Silver,Email
240,2022-11-18,UK,55,Other,Bronze,Social
241,2021-06-03,IN,37,Female,Bronze,Social
242,2022-10-02,BR,25,Female,Bronze,Email
243,2021-04-14,BR,62,Male,Bronze,Social
244,2022-12-13,US,45,Female,Bronze,Organic
245,2022-11-20,DE,41,Female,Bronze,Email
246,2021-04-03,BR,32,Male,Bronze,Paid Search
247,2023-04-10,US,42,Female,Bronze,Social
248,2022-04-01,BR,42,Male,Silver,Paid Search
249,2023-05-12,IN,25,Male,Silver,Referral
250,2021-02-15,US,45,Other,Bronze,Organic
251,2021-07-16,AU,43,Other,Bronze,Paid Search
252,2022-06-25,DE,34,Female,Silver,Organic
253,2021-07-26,US,29,Male,Bronze,Organic
254,2021-12-28,IN,48,Female,Bronze,Paid Search
255,2022-12-25,UK,31,Female,Gold,Organic
256,2021-06-08,DE,35,Other,Bronze,Email
257,2023-01-13,US,24,Male,Bronze,Paid Search
258,2021-04-24,UK,24,Male,Bronze,Email
259,2021-07-11,BR,53,Male,Bronze,Paid Search
260,2022-10-06,CA,49,Male,Silver,Paid Search
261,2023-05-19,US,46,Female,Bronze,Organic
262,2021-07-06,AU,38,Female,Silver,Email
263,2021-11-25,US,21,Male,Silver,Social
264,2023-10-11,CA,39,Male,Bronze,Paid Search
265,2023-12-20,US,39,Male,Bronze,Paid Search
266,2022-09-29,AU,34,Female,Bronze,Paid Search
267,2022-05-05,BR,41,Female,Bronze,Referral
268,2022-01-15,BR,54,Male,Silver,Organic
269,2022-11-02,US,29,Female,Bronze,Paid Search
270,2022-10-10,CA,38,Male,Gold,Referral
271,2021-11-19,US,24,Male,Silver,Organic
272,2021-01-25,IN,40,Female,Bronze,Email
273,2021-06-15,BR,32,Male,Platinum,Organic
274,2023-11-16,DE,36,Female,Bronze,Paid Search
275,2022-04-03,UK,27,Male,Bronze,Organic
276,2022-06-13,US,28,Male,Bronze,Organic
277,2022-05-27,IN,18,Male,Silver,Social
278,2023-05-08,US,35,Male,Silver,Social
279,2021-03-13,US,31,Male,Bronze,Paid Search
280,2021-04-01,AU,36,Male,Bronze,Organic
281,2021-10-30,UK,34,Female,Bronze,Paid Search
282,2022-06-17,US,41,Male,Bronze,Organic
283,2023-01-05,IN,52,Female,Silver,Paid Search
284,2022-06-22,US,26,Female,Bronze,Organic
285,2022-04-29,US,42,Female,Bronze,Referral
286,2023-10-24,CA,25,Male,Bronze,Paid Search
287,2021-06-26,US,30,Female,Bronze,Paid Search
288,2022-09-19,US,33,Male,Silver,Email
289,2022-08-17,US,42,Female,Silver,Organic
290,2022-06-03,DE,22,Female,Bronze,Organic
291,2023-06-04,US,21,Male,Silver,Paid Search
292,2021-10-20,US,35,Female,Gold,Referral
293,2023-11-11,BR,18,Male,Silver,Organic
294,2021-12-30,UK,44,Other,Bronze,Paid Search
295,2022-08-20,US,41,Female,Silver,Social
296,2022-07-25,BR,34,Male,Gold,Organic
297,2023-07-20,IN,41,Male,Gold,Organic
298,2022-04-26,BR,18,Male,Silver,Paid Search
299,2021-11-08,US,41,Male,Bronze,Paid Search
300,2021-01-24,US,40,Other,Bronze,Organic
301,2022-02-03,US,18,Male,Silver,Paid Search
302,2023-06-24,IN,35,Female,Bronze,Organic
303,2021-01-11,IN,30,Male,Bronze,Organic
304,2023-09-09,IN,18,Female,Bronze,Referral
305,2022-08-18,IN,32,Male,Bronze,Organic
306,2021-06-03,IN,39,Female,Bronze,Paid Search
307,2021-11-27,IN,18,Male,Bronze,Email
308,2022-08-30,US,40,Male,Silver,Referral
309,2021-12-12,UK,46,Female,Bronze,Paid Search
310,2021-04-29,BR,21,Male,Bronze,Organic
311,2022-12-31,AU,19,Female,Bronze,Organic
312,2023-01-07,US,45,Female,Silver,Email
313,2021-05-11,IN,30,Male,Bronze,Email
314,2021-11-04,US,46,Female,Bronze,Paid Search
315,2021-09-25,UK,34,Male,Bronze,Organic
316,2022-12-24,IN,21,Male,Bronze,Organic
317,2023-03-11,BR,22,Male,Silver,Social
318,2023-03-08,AU,55,Female,Silver,Paid Search
319,2023-10-25,US,18,Female,Gold,Paid Search
320,2023-04-22,IN,30,Female,Silver,Organic
321,2021-12-18,IN,26,Female,Bronze,Social
322,2021-04-28,UK,18,Female,Silver,Social
323,2022-11-05,CA,40,Male,Bronze,Organic
324,2023-10-01,US,25,Female,Bronze,Social
325,2023-12-04,US,40,Male,Bronze,Paid Search
326,2021-09-10,DE,33,Male,Platinum,Organic
327,2021-09-16,IN,40,Other,Bronze,Paid Search
328,2021-02-10,DE,18,Female,Bronze,Referral
329,2021-06-04,US,31,Female,Silver,Paid Search
330,2022-08-31,US,44,Other,Bronze,Referral
331,2022-08-22,US,29,Female,Bronze,Email
332,2022-02-11,CA,31,Male,Bronze,Social
333,2021-12-06,IN,22,Female,Platinum,Referral
334,2023-06-28,US,32,Female,Bronze,Email
335,2022-05-19,US,23,Male,Silver,Email
336,2023-06-05,BR,31,Other,Bronze,Referral
337,2023-11-21,IN,25,Female,Silver,Paid Search
338,2021-12-14,BR,45,Male,Silver,Paid Search
339,2021-08-10,AU,44,Female,Bronze,Social
340,2023-11-10,US,23,Female,Bronze,Paid Search
341,2022-11-27,AU,59,Female,Bronze,Referral
342,2021-11-15,IN,37,Female,Silver,Paid Search
343,2022-11-12,DE,38,Female,Silver,Paid Search
344,2022-07-18,IN,49,Female,Silver,Paid Search
345,2023-09-19,UK,39,Male,Silver,Email
346,2021-10-08,DE,26,Female,Silver,Referral
347,2023-12-22,US,18,Female,Bronze,Organic
348,2023-10-22,IN,18,Male,Bronze,Paid Search
349,2021-07-17,US,56,Male,Bronze,Organic
350,2021-06-30,US,37,Female,Bronze,Paid Search
351,2022-08-07,UK,38,Male,Silver,Paid Search
352,2021-02-19,DE,41,Female,Bronze,Paid Search
353,2021-11-24,US,29,Female,Bronze,Paid Search
354,2022-04-22,US,40,Male,Bronze,Organic
355,2023-11-28,AU,20,Female,Bronze,Organic
356,2023-12-23,IN,36,Female,Silver,Organic
357,2021-06-15,DE,43,Female,Bronze,Organic
358,2023-09-04,US,25,Male,Bronze,Paid Search
359,2021-04-10,UK,64,Female,Bronze,Email
360,2023-03-31,CA,21,Female,Bronze,Email
361,2023-07-15,US,41,Male,Bronze,Paid Search
362,2023-09-03,IN,35,Female,Bronze,Organic
363,2021-09-02,US,49,Female,Silver,Paid Search
364,2023-09-06,US,32,Male,Silver,Email
365,2021-05-07,UK,25,Female,Bronze,Organic
366,2022-07-23,UK,44,Male,Silver,Organic
367,2022-05-30,UK,27,Female,Platinum,Paid Search
368,2021-12-12,IN,43,Female,Bronze,Organic
369,2021-01-25,IN,22,Female,Silver,Organic
370,2023-04-26,IN,28,Male,Bronze,Paid Search
371,2022-01-03,US,25,Male,Silver,Organic
372,2022-12-26,US,20,Male,Bronze,Email
373,2022-03-26,US,22,Female,Gold,Organic
374,2022-02-14,BR,50,Female,Silver,Email
375,2023-08-29,US,57,Male,Bronze,Paid Search
376,2021-04-14,IN,18,Female,Bronze,Organic
377,2023-03-18,IN,48,Female,Bronze,Organic
378,2023-03-29,CA,39,Female,Bronze,Organic
379,2022-02-21,CA,35,Male,Bronze,Organic
380,2021-10-15,DE,20,Male,Platinum,Paid Search
381,2021-01-06,US,46,Male,Bronze,Paid Search
382,2023-10-23,US,18,Female,Silver,Organic
383,2023-11-04,CA,33,Female,Silver,Email
384,2021-09-21,BR,27,Male,Silver,Email
385,2021-02-04,BR,32,Female,Bronze,Organic
386,2021-05-15,BR,49,Female,Silver,Organic
387,2021-03-16,IN,18,Male,Bronze,Organic
388,2023-06-30,US,21,Male,Bronze,Email
389,2023-09-04,DE,31,Female,Bronze,Organic
390,2021-06-17,UK,45,Other,Bronze,Paid Search
391,2023-03-29,US,41,Male,Silver,Email
392,2021-07-16,UK,53,Male,Bronze,Referral
393,2022-02-07,AU,37,Female,Bronze,Organic
394,2022-10-19,US,38,Male,Bronze,Paid Search
395,2023-02-28,IN,28,Male,Silver,Social
396,2023-08-16,IN,18,Male,Silver,Social
397,2021-02-19,US,51,Female,Bronze,Social
398,2021-08-04,CA,38,Male,Bronze,Organic
399,2021-11-04,DE,34,Female,Bronze,Paid Search
400,2021-12-06,US,26,Male,Bronze,Paid Search
401,2023-12-29,BR,51,Male,Bronze,Organic
402,2023-05-02,IN,19,Female,Silver,Social
403,2021-12-17,UK,23,Male,Bronze,Social
404,2023-12-01,DE,30,Male,Bronze,Organic
405,2022-07-01,BR,41,Male,Silver,Social
406,2022-07-03,US,32,Female,Bronze,Organic
407,2022-04-20,UK,42,Male,Silver,Social
408,2021-06-07,DE,43,Male,Silver,Paid Search
409,2023-10-21,BR,32,Male,Bronze,Paid Search
410,2021-01-16,CA,48,Male,Silver,Organic
411,2021-07-10,BR,22,Female,Bronze,Email
412,2021-09-09,US,30,Female,Bronze,Organic
413,2021-11-02,IN,35,Female,Bronze,Referral
414,2021-05-25,US,43,Male,Bronze,Email
415,2021-01-20,IN,49,Male,Silver,Paid Search
416,2023-01-13,CA,28,Female,Silver,Social
417,2023-11-28,IN,38,Male,Silver,Email
418,2021-05-14,US,25,Male,Gold,Email
419,2021-11-21,DE,32,Female,Bronze,Organic
420,2022-07-09,US,40,Male,Bronze,Paid Search
421,2023-10-13,US,41,Male,Bronze,Organic
422,2023-01-31,DE,37,Female,Silver,Email
423,2023-04-19,BR,29,Female,Bronze,Referral
424,2022-09-29,US,34,Male,Silver,Social
425,2022-04-02,UK,30,Male,Gold,Paid Search
426,2021-08-07,IN,36,Female,Gold,Email
427,2023-08-05,US,30,Male,Bronze,Paid Search
428,2023-05-31,IN,28,Female,Silver,Organic
429,2021-01-28,US,29,Male,Gold,Referral
430,2023-02-23,CA,37,Female,Bronze,Email
431,2021-04-03,CA,28,Male,Bronze,Paid Search
432,2023-03-21,US,23,Male,Silver,Social
433,2023-06-24,US,43,Female,Bronze,Social
434,2021-05-24,US,26,Male,Bronze,Email
435,2022-04-21,AU,29,Female,Silver,Email
436,2021-05-16,BR,28,Female,Bronze,Social
437,2022-09-14,BR,34,Female,Bronze,Paid Search
438,2023-10-13,IN,38,Male,Bronze,Paid Search
439,2021-03-30,CA,30,Female,Bronze,Organic
440,2022-03-12,UK,40,Male,Bronze,Paid Search
441,2023-12-02,US,31,Male,Bronze,Organic
442,2021-11-26,IN,38,Male,Gold,Organic
443,2021-05-25,IN,49,Male,Gold,Social
444,2022-06-19,IN,30,Female,Bronze,Email
445,2022-07-11,US,38,Female,Bronze,Email
446,2022-12-27,IN,47,Other,Bronze,Organic
447,2021-12-10,UK,27,Male,Gold,Organic
448,2023-11-13,US,20,Female,Gold,Paid Search
449,2022-07-25,US,35,Male,Bronze,Organic
450,2021-11-10,DE,39,Male,Bronze,Referral
451,2023-11-18,IN,41,Female,Gold,Organic
452,2023-10-10,IN,33,Male,Bronze,Email
453,2022-07-01,BR,36,Male,Bronze,Paid Search
454,2021-01-28,IN,31,Female,Bronze,Organic
455,2022-10-16,US,40,Male,Silver,Social
456,2022-08-31,US,36,Male,Bronze,Email
457,2021-06-12,US,27,Male,Bronze,Paid Search
458,2022-11-26,US,49,Female,Bronze,Organic
459,2023-07-10,BR,42,Male,Gold,Referral
460,2021-04-26,BR,25,Male,Bronze,Email
461,2023-03-04,IN,26,Male,Bronze,Email
462,2021-06-03,US,30,Female,Bronze,Organic
463,2023-03-31,US,62,Female,Bronze,Social
464,2022-04-04,DE,18,Male,Bronze,Referral
465,2021-01-08,BR,60,Female,Gold,Paid Search
466,2023-11-25,IN,32,Male,Bronze,Email
467,2021-07-01,BR,27,Male,Gold,Email
468,2022-10-15,US,48,Female,Bronze,Paid Search
469,2021-07-18,UK,32,Male,Silver,Paid Search
470,2023-10-19,US,54,Female,Bronze,Email
471,2023-03-20,UK,34,Female,Bronze,Social
472,2023-05-31,UK,39,Female,Silver,Paid Search
473,2022-04-19,UK,35,Male,Bronze,Paid Search
474,2022-05-27,CA,51,Female,Bronze,Paid Search
475,2022-11-26,US,28,Female,Bronze,Paid Search
476,2023-05-10,US,31,Male,Silver,Email
477,2023-07-17,DE,34,Male,Bronze,Paid Search
478,2021-01-20,UK,34,Male,Silver,Social
479,2022-12-28,AU,52,Female,Silver,Referral
480,2021-04-30,CA,42,Female,Bronze,Paid Search
481,2021-11-12,IN,33,Female,Silver,Organic
482,2023-06-28,IN,33,Male,Silver,Paid Search
483,2021-10-02,DE,24,Male,Bronze,Paid Search
484,2023-05-23,US,35,Female,Silver,Social
485,2022-05-22,IN,43,Male,Bronze,Paid Search
486,2021-09-12,US,29,Male,Gold,Email
487,2022-01-01,US,26,Female,Silver,Organic
488,2022-08-05,CA,44,Female,Bronze,Organic
489,2023-04-18,IN,45,Female,Bronze,Social
490,2022-10-26,BR,24,Male,Bronze,Organic
491,2023-10-19,BR,28,Female,Silver,Paid Search
492,2023-08-09,CA,49,Male,Silver,Social
493,2023-04-05,CA,29,Male,Silver,Email
494,2022-10-23,US,42,Male,Bronze,Organic
495,2021-11-14,US,26,Female,Bronze,Organic
496,2022-03-28,DE,33,Female,Bronze,Email
497,2021-05-11,US,62,Male,Bronze,Referral
498,2022-02-14,IN,20,Male,Silver,Organic
499,2023-10-12,AU,25,Female,Silver,Social
500,2022-04-12,DE,23,Female,Silver,Email
501,2021-05-05,US,40,Female,Bronze,Organic
502,2022-12-15,DE,18,Female,Bronze,Organic
503,2023-11-21,CA,52,Male,Bronze,Referral
504,2023-08-08,BR,33,Male,Silver,Organic
505,2021-10-28,DE,25,Female,Silver,Paid Search
506,2022-05-13,US,46,Female,Bronze,Referral
